ZIP_Code,RefVille
99502,1
99507,1
99611,2
99503,1
99501,1
99508,1
99824,3
99519,1
99708,4
99505,5
99504,1
99516,1
99801,6
99587,7
99674,8
99615,9
99524,1
99633,1
99603,11
99835,12
99574,13
99511,1
99827,14
99567,15
99730,16
99833,17
99573,18
99755,19
99738,2
99707,4
99701,4
99802,6
99709,4
99577,22
99826,23
99605,24
99664,25
99510,1
99723,26
99830,27
99610,28
99654,29
99686,3
99588,31
99687,29
99685,32
99775,4
99901,33
99645,34
99762,35
99518,1
99521,1
99576,36
99721,37
99669,38
99676,39
99841,4
99627,41
99737,42
99693,43
99929,44
35462,45
36633,46
35816,47
36104,48
35043,49
35801,47
35904,5
35223,51
36130,48
35204,52
35111,53
35213,52
35203,52
36601,46
36801,54
35062,55
35487,56
35294,52
35206,52
35202,52
36092,57
35814,47
35470,58
35612,59
35124,6
35216,61
35442,62
35222,52
35810,47
36703,63
35650,64
35016,65
35115,66
36702,63
35953,67
36502,68
36831,69
36067,7
36068,7
36507,71
36580,72
36530,73
35094,52
36016,74
36606,46
36582,75
36202,76
35020,77
35205,52
36741,79
36603,46
35031,8
35601,81
35740,82
36111,48
35976,83
36010,84
36037,85
36265,86
35805,47
35578,87
36106,48
35501,88
35902,5
35215,89
35901,5
36862,9
35960,91
36611,92
36102,48
35630,93
36904,94
36921,95
35401,56
35229,52
35899,47
36451,96
36251,97
35758,98
35048,99
35476,1
35646,101
36925,102
35961,103
36319,104
35406,56
35136,105
35618,106
36420,107
36051,108
35056,109
36526,11
36542,111
35968,112
35967,113
35220,52
36849,69
36303,114
35254,52
36057,115
36532,116
35051,117
36608,46
36604,46
35173,118
35460,119
36427,12
36072,121
35077,122
36607,46
36533,116
35555,123
36027,121
36441,124
36033,125
36445,126
35120,127
35071,128
36340,129
36602,46
35748,13
36082,131
36083,132
35640,133
35040,134
35674,135
36345,136
36373,137
35207,52
36201,76
36701,63
36744,138
36670,46
35143,139
35083,14
35236,61
35572,141
35804,47
35161,142
35210,143
35150,144
35403,56
36830,69
36460,145
35645,146
35592,147
36863,148
36865,15
36748,151
35466,152
36732,153
36756,154
35570,155
35957,156
35903,5
35984,157
35404,56
36689,46
36618,46
36609,46
36587,158
36461,159
36109,48
36123,48
36117,48
36559,16
35474,161
36803,54
35631,93
36652,46
35503,88
35815,47
35802,47
35619,162
36616,46
35121,163
35080,164
36331,165
35055,109
36471,166
36867,167
35447,168
36081,131
36043,169
36360,17
36255,171
35582,172
36868,167
35768,173
36575,174
36105,48
36536,175
35585,176
35762,177
35022,77
35611,59
36853,178
35162,142
36426,12
35773,179
35813,47
35402,56
36362,18
35807,47
36875,181
35178,183
36481,184
35209,52
35502,88
36101,48
36518,185
35021,77
36726,186
36302,114
72529,187
72703,188
72821,189
72342,19
72701,188
72202,191
72106,192
72744,193
72209,191
71655,194
72201,191
72855,195
72114,196
72118,197
71762,198
72757,199
72055,2
72401,201
72801,202
72160,203
72761,204
71753,205
71601,206
72765,207
72205,191
71646,208
72632,209
71914,21
72903,211
72958,212
72035,213
72011,214
72654,215
72714,216
72015,217
72712,218
72601,219
72602,219
72927,22
71671,222
72447,223
72619,224
72519,225
72717,226
72616,227
72150,228
72021,229
71726,23
72543,231
71665,232
72415,233
72110,234
71613,206
72012,235
72921,236
72957,237
72396,238
71635,239
72756,199
71742,24
72315,241
71638,242
71654,243
71639,244
72455,245
72214,191
72943,246
72088,247
72033,213
72204,191
72467,221
72901,211
72913,211
72841,248
72032,213
72018,217
71903,21
71913,21
72554,25
72732,251
72211,191
72450,253
72451,253
71743,254
71923,255
72454,256
71802,257
71999,255
71957,258
72203,191
72764,207
72104,259
71852,26
72556,261
72112,262
72076,263
72830,264
72501,265
72221,191
71653,221
71822,266
72086,267
72476,268
72740,269
72923,27
72360,271
72687,272
71902,21
71953,273
71837,274
72370,275
72641,276
72354,277
72908,211
72173,279
71857,28
71836,281
71960,282
72758,199
72949,283
72045,284
72645,285
72751,286
72126,287
71862,288
71656,194
72858,289
72753,29
72225,191
72216,191
72956,237
72650,292
71832,293
71730,295
71940,296
72936,297
72143,298
72560,299
71603,206
71854,3
72631,252
72734,301
72207,302
72473,303
71731,295
72031,304
71909,305
72702,188
72223,191
72959,306
72834,307
72206,257
85259,308
85751,309
85321,31
85006,311
85202,312
86440,313
85287,314
85301,315
85609,316
85755,317
85646,318
85936,319
85756,309
85004,311
85286,32
85721,309
85280,314
85544,321
85745,309
85007,311
85615,322
85211,312
86001,323
85719,309
85364,324
85016,311
86442,325
85201,312
85139,326
85040,311
85726,309
85244,32
86304,327
85050,311
85743,309
86046,328
85281,314
85008,311
85607,329
85365,324
85711,309
85302,315
85603,33
85324,331
85258,308
85325,332
85273,333
85326,334
85277,312
85539,335
86322,336
85351,337
85658,338
85122,339
85938,34
85718,309
85250,308
85327,341
85701,309
85256,308
85382,342
85215,312
85225,32
85034,311
86323,343
85632,344
86324,345
86430,325
85641,346
85128,347
86325,348
86343,349
85308,315
85020,311
85390,35
85017,311
85543,351
85003,311
85255,308
85613,352
85021,311
85338,353
2138,354
85705,309
85502,356
85296,357
85299,357
85312,315
85552,358
86002,323
86023,359
85622,36
85533,361
86333,362
86303,327
86402,363
85311,315
85285,314
85636,364
85254,308
85715,309
86326,365
85251,308
85253,308
85717,309
86331,366
85702,309
85032,311
86040,367
86401,363
86403,368
86405,369
85340,37
85709,309
85618,371
85653,338
85022,311
85224,32
85212,312
85712,309
85635,364
86515,372
86047,373
86025,374
86556,375
86011,323
85541,376
85547,376
86433,377
85625,378
85623,379
85737,317
86004,323
85344,38
85757,309
85624,381
85362,382
85380,342
86028,383
86301,327
85042,311
85013,311
85014,311
85732,309
85621,384
85132,385
85929,386
85027,311
85638,387
85392,388
85554,389
86302,327
86314,39
85534,391
85346,392
86022,393
85716,309
85643,394
85268,395
85735,309
85652,396
85730,309
85631,397
85602,398
85142,399
85123,4
85223,4
85252,308
85213,312
85248,32
86336,401
86339,401
86337,402
85018,311
85901,403
85902,403
86338,404
85703,309
85331,341
85284,314
85748,309
85383,342
85373,337
85173,333
85117,406
85374,407
85282,314
85704,309
85082,311
85754,309
85501,356
85377,409
86312,41
85728,309
85226,32
85385,342
85358,35
85366,324
95928,411
90404,412
92263,413
94538,414
92711,415
91302,416
94105,417
90036,418
91102,419
90265,42
92692,421
95652,422
94102,417
90021,418
94602,423
93721,424
92102,425
90001,418
90815,426
95077,427
95348,428
92262,413
94541,429
91406,43
93263,431
94501,432
94661,423
94706,433
91802,434
92120,425
96120,435
91903,436
91901,436
93618,437
91001,438
91103,419
95642,439
94566,44
95669,441
93001,442
92649,443
93704,424
95820,444
94107,417
90027,418
91769,445
94920,446
93515,447
91801,434
91767,445
95209,448
95407,449
91733,45
90807,426
90039,418
93035,451
92815,452
96007,453
95415,454
95222,455
91101,419
95412,456
92270,457
90015,418
92620,458
93536,459
93534,459
94509,46
92072,461
92083,462
92363,463
92004,464
95003,465
90802,426
93727,424
93740,424
91066,466
95518,467
95521,467
90065,418
91105,419
90024,418
93010,468
93755,424
91201,469
93710,424
92626,47
93401,471
90048,418
93106,472
91330,473
92506,474
93702,424
90639,475
93257,476
93012,468
91355,477
94901,478
90702,479
93436,48
93460,481
94702,482
94510,483
93922,484
93203,485
92126,425
94523,486
93423,487
92037,488
94027,489
93109,472
94596,49
95301,491
90245,492
93204,493
93060,494
90086,418
94305,495
93389,496
93302,496
93301,496
93380,496
93305,496
95468,497
92163,425
92662,498
92101,425
90720,499
90744,5
93041,501
91017,502
94965,503
94585,504
94609,423
95008,417
94043,505
