ID_Finance,Tax_Period,Chiffre_Affaires,Benefice,RefEmployer
1,2013-12-30,602912,550236,920071852
2,2013-12-30,1379576,1323742,920115504
3,2013-12-30,740030,729080,921761906
4,2014-12-30,0,0,920165178
5,NULL,NULL,NULL,920062352
6,2013-12-30,2658938,34374,711010049
7,2013-12-30,16500,16500,911833974
8,2014-06-30,0,0,920095561
9,2014-12-30,184295,31393,550819611
10,NULL,NULL,NULL,920141774
11,2014-03-30,4502727,4050394,920127531
12,2013-12-30,1370930,615273,810649085
13,2013-12-30,182675,129192,237067119
14,2014-12-30,0,0,920145434
15,2013-12-30,769702,221807,920091086
16,2014-12-30,0,0,30382080
17,2013-12-30,3331564,2793744,920170600
18,2013-12-30,3310088,2393748,920039344
19,2014-12-30,157509,157509,920101994
20,2013-12-30,331826,15734,920177435
21,2013-12-30,1103875,1055839,920150422
22,2014-12-30,0,0,920156423
23,2014-09-30,8282,8282,920143639
24,NULL,NULL,NULL,920119470
25,2013-12-30,6851982,4116780,920129376
26,2013-06-30,NULL,NULL,926000147
27,2013-06-30,333248,288158,926002560
28,2012-12-30,0,0,510174974
29,2013-12-30,335104,335104,943220880
30,2014-12-30,0,0,311591643
31,2013-12-30,59819,59819,920165946
32,2013-06-30,66512448,63692296,920023588
33,2013-12-30,914275,908922,920086250
34,NULL,NULL,NULL,261910346
35,2013-06-30,0,0,920155562
36,2014-06-30,0,0,510180584
37,2014-12-30,0,0,920147295
38,2014-06-30,0,0,920074363
39,2013-12-30,0,0,456688579
40,2014-06-30,86045,86045,920089647
41,2014-04-30,0,0,920067823
42,2013-12-30,47693,34193,926010338
43,2013-12-30,1422621,1416741,920131177
44,NULL,NULL,NULL,920133850
45,2013-12-30,16773,14657,920093792
46,2013-12-30,295812,268677,920156981
47,2013-12-30,156377,156377,264095584
48,2014-09-30,0,0,920139287
49,2013-12-30,35320,31075,201276510
50,2013-12-30,0,0,920111895
51,2012-12-30,0,0,680561000
52,2013-12-30,1549084,1549084,810645819
53,2012-12-30,0,0,205090234
54,2014-12-30,0,0,270251570
55,2014-12-30,0,0,571199151
56,2014-03-30,0,0,383749864
57,2013-12-30,780811,742408,926002856
58,2014-12-30,0,0,237213390
59,2014-12-30,0,0,431262322
60,2014-09-30,91510,91510,920165948
61,2013-12-30,48842,39227,920128343
62,NULL,NULL,NULL,920042378
63,2014-06-30,0,0,272917330
64,2013-12-30,1037819,1037819,263774589
65,2013-12-30,78314,78314,731652033
66,2013-12-30,0,0,270980810
67,2013-12-30,454933,287801,943104608
68,2013-12-30,0,0,943149724
69,2013-12-30,37843,37598,920172991
70,NULL,NULL,NULL,204609315
71,2014-12-30,0,0,205241723
72,2013-12-30,39167,36901,920058042
73,2013-12-30,85602,85352,920165430
74,2014-12-30,0,0,453069319
75,2014-06-30,0,0,920104701
76,NULL,NULL,NULL,910112878
77,2013-12-30,87442,67641,920060340
78,2013-06-30,638447,609946,920162384
79,2013-12-30,433429,433429,920097153
80,2013-12-30,50,50,262877798
81,2012-12-30,892091,534898,943194998
82,2013-12-30,133637,133637,920085097
83,2013-12-30,0,0,920118118
84,2013-12-30,161428,144442,203297367
85,2014-12-30,0,0,203440561
86,2013-12-30,0,0,920042250
87,2014-12-30,587933,29269,926003434
88,2013-12-30,65544,65544,920166923
89,2014-09-30,0,0,800508049
90,2014-12-30,0,0,926003019
91,2013-12-30,31028,28358,311748946
92,2013-12-30,349281,349281,710879791
93,2014-06-30,0,0,920117700
94,NULL,NULL,NULL,920041226
95,2013-12-30,7870397,7812834,920081844
96,2013-09-30,9601562,9469200,920132479
97,2014-06-30,25020,20137,920018660
98,2013-12-30,85605,49871,920112427
99,2014-06-30,323889,323889,920134317
100,2013-12-30,0,0,202076516
101,2014-06-30,186233,160043,920074478
102,2013-12-30,36802,34039,920169964
103,2013-12-30,1958626,1923217,261253086
104,2014-06-30,15193,15193,920119189
105,2013-12-30,0,0,364642971
106,2013-12-30,85074,78315,920109160
107,2013-12-30,19338,18705,920044211
108,2014-12-30,0,0,30425229
109,2009-12-30,0,0,920104105
110,2013-12-30,0,0,926002943
111,2013-12-30,0,0,263289067
112,2013-12-30,0,0,920164498
113,2013-12-30,678148,645570,920159463
114,2013-06-30,336681,224685,546044435
115,2013-12-30,327481,327481,262796849
116,2013-12-30,357970,193187,920123743
117,2013-12-30,0,0,510451736
118,NULL,NULL,NULL,926000144
119,NULL,NULL,NULL,392050503
120,2013-12-30,0,0,271720928
121,2013-12-30,0,0,631281222
122,NULL,NULL,NULL,721374279
123,2012-06-30,312533,312533,263936733
124,2013-12-30,64159,64159,582082521
125,2014-06-30,0,0,263821641
126,2014-06-30,0,0,631177118
127,2014-09-30,1101454,806811,631182396
128,NULL,NULL,NULL,63600619
129,2013-12-30,21884,21884,261819848
130,2013-12-30,0,0,631238510
131,2014-09-30,1748733,1642172,630587127
132,2014-06-30,0,0,581905488
133,2013-06-30,369221,368247,630870612
134,2014-09-30,0,0,470855579
135,2014-12-30,0,0,412024874
136,2014-09-30,7618,7618,631153400
137,2014-09-30,62187,62187,630840041
138,2013-09-30,NULL,NULL,636001138
139,NULL,NULL,NULL,636005396
140,NULL,NULL,NULL,570888888
141,2014-12-30,0,0,205655870
142,2014-12-30,0,0,273480154
143,2014-09-30,586834,488198,237013282
144,2014-12-30,0,0,631230100
145,2013-12-30,118576,118576,630947714
146,2014-07-30,126728,118567,311624974
147,2013-12-30,463192,440703,630813173
148,2014-09-30,0,0,237090795
149,2013-09-30,538889,538889,631207156
150,2014-07-30,0,0,630794562
151,2013-12-30,72827,72827,631103657
152,2014-06-30,6812202,6772233,630302110
153,2012-12-30,0,0,631163085
154,2013-12-30,0,0,452068398
155,NULL,NULL,NULL,631161613
156,2014-06-30,0,0,630980262
157,2013-12-30,0,0,630829374
158,NULL,NULL,NULL,636000720
159,2013-12-30,206923,206923,200440925
160,2014-09-30,0,0,800610605
161,2013-12-30,43103,43103,486134391
162,2013-12-30,0,0,631114123
163,2013-12-30,0,0,208457213
164,2013-12-30,112856,51666,630825743
165,2014-12-30,0,0,631279860
166,2014-09-30,0,0,631269511
167,2014-12-30,0,0,261631003
168,2013-12-30,63718,56883,630815980
169,2013-12-30,5329649,NULL,631125485
170,2013-12-30,0,0,203185948
171,2013-12-30,54487,54487,201162009
172,2013-12-30,21702,13548,263196982
173,2014-09-30,3110338,2733087,201422131
174,2014-09-30,150662,143128,631082554
175,2013-12-30,9281,8783,237113175
176,2014-12-30,0,0,412131470
177,NULL,NULL,NULL,631287732
178,2014-06-30,2736160,2736160,581892067
179,2013-12-30,210641,136632,636050611
180,2013-12-30,188366,188366,200889261
181,2013-12-30,16565,16565,510198758
182,2013-12-30,3894335,3837208,630958984
183,2014-06-30,25404,25404,237077565
184,2013-12-30,10969184,8932428,621231591
185,2014-12-30,0,0,452905587
186,NULL,NULL,NULL,631131736
187,NULL,NULL,NULL,630507477
188,2014-12-30,0,0,631155307
189,2013-12-30,34828,34828,261445870
190,2013-12-30,8095,8095,630968833
191,2014-12-30,0,0,274919416
192,2014-12-30,0,0,272352328
193,2013-12-30,64294,-4221,631079285
194,2013-09-30,1423105,1252295,630868992
195,2014-12-30,0,0,630750036
196,2011-12-30,28050,28050,201689780
197,NULL,NULL,NULL,630505871
198,NULL,NULL,NULL,636001873
199,2013-12-30,419396,419396,630841878
200,NULL,NULL,NULL,631102108
201,2013-12-30,2714683,1745386,630899081
202,2013-12-30,0,0,273076166
203,2013-12-30,1018,1018,861068765
204,2013-12-30,0,0,630750700
205,2014-12-30,0,0,237166483
206,2014-02-28,0,0,364613415
207,2013-12-30,50286,50286,421680937
208,2013-12-30,88560,88560,721371633
209,2013-12-30,0,0,631281672
210,2014-12-30,0,0,630968762
211,2013-12-30,0,0,630778962
212,2014-09-30,611829,600563,630886689
213,2013-06-30,343788271,208251061,630312914
214,NULL,NULL,NULL,630520830
215,2014-06-30,0,0,237260098
216,2013-05-30,128509,124305,630727557
217,2014-12-30,0,0,630900704
218,NULL,NULL,NULL,421604918
219,2013-12-30,0,0,470957257
220,2014-12-30,0,0,631188043
221,2014-12-30,0,0,271533813
222,2013-09-30,199297,199297,630844429
223,2014-12-30,0,0,201529088
224,2014-12-30,0,0,631280912
225,2014-05-30,318188,318188,510228142
226,2014-06-30,18552,NULL,460750517
227,2011-12-30,0,0,630879969
228,2014-12-30,0,0,630957200
229,2014-12-30,0,0,452440701
230,2014-12-30,0,0,800302022
