ID_Institution,Nom Institution
1,NA
2,UNIVERSITY OF ALASKA ANCHORAGE
3,ALASKA PACIFIC UNIVERSITY
4,KENAI PENINSULA COLLEGE
5,UNIVERSITY OF ALASKA FAIRBANKS
6,UNIVERSITY OF ALABAMA
7,UNIVERSITY OF ALABAMA AT BIRMINGHAM
8,UNIVERSITY OF MONTEVALLO
9,BISHOP STATE COMMUNITY COLLEGE
10,JOHN C CALHOUN STATE COMMUNITY COLLEGE
11,BEVILL STATE COMMUNITY COLLEGE
12,SAMFORD UNIVERSITY
13,UNIVERSITY OF ALABAMA IN HUNTSVILLE
14,AUBURN UNIVERSITY
15,BIRMINGHAM SOUTHERN COLLEGE
16,SPRING HILL COLLEGE
17,UNIVERSITY OF SOUTH ALABAMA
18,GEORGE C WALLACE STATE COMMUNITY COLLEGE-HANCEVILLE
19,TUSKEGEE UNIVERSITY
20,TROY UNIVERSITY
21,JACKSONVILLE STATE UNIVERSITY
22,ALABAMA SOUTHERN COMMUNITY COLLEGE
23,LURLEEN B WALLACE COMMUNITY COLLEGE
24,JUDSON COLLEGE
25,GADSDEN STATE COMMUNITY COLLEGE
26,HUNTINGDON COLLEGE
27,ALABAMA A & M UNIVERSITY
28,STILLMAN COLLEGE
29,ATHENS STATE UNIVERSITY
30,JEFFERSON DAVIS COMMUNITY COLLEGE
31,UNIVERSITY OF NORTH ALABAMA
32,UNIVERSITY OF WEST ALABAMA
33,ARKANSAS STATE UNIVERSITY
34,ARKANSAS TECH UNIVERSITY
35,JOHN BROWN UNIVERSITY
36,SOUTHERN ARKANSAS UNIVERSITY
37,UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES
38,UNIVERSITY OF CENTRAL ARKANSAS
39,UNIVERSITY OF ARKANSAS AT LITTLE ROCK
40,HENDRIX COLLEGE
41,OUACHITA BAPTIST UNIVERSITY
42,HENDERSON STATE UNIVERSITY
43,NORTHWEST ARKANSAS COMMUNITY COLLEGE
44,LYON COLLEGE
45,WILLIAMS BAPTIST COLLEGE
46,NORTH ARKANSAS COLLEGE
47,UNIVERSITY OF ARKANSAS AT MONTICELLO
48,SOUTH ARKANSAS COMMUNITY COLLEGE
49,UNIVERSITY OF THE OZARKS
50,HARDING UNIVERSITY
51,UNIVERSITY OF ARKANSAS AT PINE BLUFF
52,UNIVERSITY OF ARKANSAS - FORT SMITH
53,ARIZONA STATE UNIVERSITY
54,UNIVERSITY OF ARIZONA
55,ARIZONA WESTERN COLLEGE
56,NORTHERN ARIZONA UNIVERSITY
57,SCOTTSDALE COMMUNITY COLLEGE
58,PHOENIX COLLEGE
59,HARVARD UNIVERSITY
60,THE ART INSTITUTE OF TUCSON
61,THE ART INSTITUTE OF PHOENIX
62,ARIZONA STATE UNIVERSITY-DOWNTOWN PHOENIX
63,PARADISE VALLEY COMMUNITY COLLEGE
64,PIMA COMMUNITY COLLEGE
65,EASTERN ARIZONA COLLEGE
66,DINE COLLEGE
67,ESTRELLA MOUNTAIN COMMUNITY COLLEGE
68,YAVAPAI COLLEGE
69,PRESCOTT COLLEGE
70,GLENDALE COMMUNITY COLLEGE
71,CHANDLER-GILBERT COMMUNITY COLLEGE
72,CENTRAL ARIZONA COLLEGE
73,NORTHLAND PIONEER COLLEGE
74,ACADEMY OF ART UNIVERSITY
75,ART CENTER COLLEGE OF DESIGN
76,FASHION INSTITUTE OF DESIGN & MERCHANDISING-LOS ANGELES
77,ANTELOPE VALLEY COLLEGE
78,CALIFORNIA STATE UNIVERSITY- FRESNO
79,"UNIVERSITY OF CALIFORNIA, LOS ANGELES"
80,ORANGE COAST�COLLEGE
81,"UNIVERSITY OF CALIFORNIA, SANTA BARBARA"
82,CALIFORNIA STATE UNIVERSITY - NORTHRIDGE
83,RIVERSIDE CITY COLLEGE
84,FRESNO PACIFIC UNIVERSITY
85,BIOLA UNIVERSITY
86,PORTERVILLE COLLEGE
87,CALIFORNIA STATE UNIVERSITY - CHANNEL ISLANDS
88,CALIFORNIA INSTITUTE OF ART
89,JOHN F KENNEDY UNIVERSITY
90,DIABLO VALLEY COLLEGE
91,SANTA BARBARA CITY COLLEGE
92,STANFORD UNIVERSITY
93,SAN BERNARDINO VALLEY COLLEGE
94,CALIFORNIA STATE UNIVERSITY - FULLERTON
95,OTIS COLLEGE OF ART AND DESIGN
96,"UNIVERSITY OF CALIFORNIA, BERKELEY"
97,PALOMAR COLLEGE
98,"UNIVERSITY OF CALIFORNIA, DAVIS"
99,LA SIERRA UNIVERSITY
100,BUTTE COLLEGE
