ID_Musee,Nom,Telephone,Adresse,Latitude,Longitude,RefType,RefInstitution,RefVille,RefFinances,RefLocale
8400200098,ALASKA AVIATION HERITAGE MUSEUM,9072485325,4721 AIRCRAFT DR,61.17925,-149.97254,1,NULL,99502,920071852,1
8400200117,ALASKA BOTANICAL GARDEN,9077703692,4601 CAMPBELL AIRSTRIP RD,61.1689,-149.76708,2,NULL,99502,920115504,4
8400200153,ALASKA CHALLENGER CENTER FOR SPACE SCIENCE TECHNOLOGY,9072832000,9711 KENAI SPUR HWY,60.56149,-151.21598,3,NULL,99611,921761906,3
8400200143,ALASKA EDUCATORS HISTORICAL SOCIETY,2142472478,214 BIRCH STREET,60.5628,-151.26597,4,NULL,99611,920165178,3
8400200027,ALASKA HERITAGE MUSEUM,9072652834,301 W NORTHERN LIGHTS BLVD,61.17925,-149.97254,1,NULL,99502,920071852,1
8400200096,ALASKA HISTORICAL MUSEUM,NULL,1675 E 5TH AVE,61.21785,-149.85049,4,NULL,99502,920062352,1
8400200078,ALASKA JEWISH MUSEUM,9077707021,1117 E 35TH AVE,61.18946,-149.86071,5,NULL,99502,711010049,1
8400200084,ALASKA LIGHTHOUSE ASSOCIATION,NULL,2116 B 2ND ST,58.28299,-134.40583,4,NULL,99824,911833974,3
8400200107,ALASKA MASONIC LIBRARY AND MUSEUM FOUNDATION,9072762665,PO BOX 190668,61.21833,-149.89456,5,NULL,99502,920095561,1
8400200073,ALASKA MINING HALL OF FAME FOUNDATION,NULL,PO BOX 81906,64.85079,-147.82945,1,NULL,99708,550819611,2
8400200131,ALASKA NATIONAL GUARD HISTORICAL HOLDING-MUSEUM,NULL,PO BPX 5800,61.25315,-149.68711,4,NULL,99505,920141774,1
8400200123,ALASKA NATIVE HERITAGE CENTER,9073308000,8800 HERITAGE CENTER DRIVE,61.23361,-149.71566,5,NULL,99502,920127531,1
8400200082,ALASKA SPORTS HALL OF FAME,NULL,6740 SAMUEL CT,61.08741,-149.6926,5,NULL,99502,810649085,4
8400200044,ALASKA STATE MUSEUM,9074652901,395 WHITTIER ST,58.30048,-134.4148,5,NULL,99801,237067119,3
8400200133,ALASKA TERRITORIAL CAVALRY MOTORIZED,9075625359,5910 DEBARR ROAD,61.19007,-149.91195,5,NULL,99502,920145434,1
8400200026,ALASKA TROOPER MUSEUM,9072795050,245 W 5TH AVE,61.21765,-149.88622,5,NULL,99502,920091086,1
8400200031,ALASKA VETERANS MUSEUM,9076778802,334 W 4TH AVENUE 227,61.21406,-149.87855,1,NULL,99502,30382080,1
8400200170,ALASKA WILDLIFE CONSERVATION CENTER,9072275764,PO BOX 848,60.96435,-149.13368,2,NULL,99587,920170600,4
8400200087,ALASKA ZOO,9073462133,4731 OMALLEY RD,61.12476,-149.79254,6,NULL,99502,920039344,1
8400200109,ALPINE HISTORICAL SOCIETY,9077457000,PO BOX 266,61.76392,-148.38192,4,NULL,99674,920101994,4
8400200152,ALUTIIQ HERITAGE ENDOWMENT,9075612668,4300 B ST STE 407,61.18152,-149.88518,4,NULL,99502,920177435,1
8400200135,ALUTIIQ HERITAGE FOUNDATION,9074867004,215 MISSION RD STE 101,57.78869,-152.4025,5,NULL,99615,920150422,3
8400200137,ANCHORAGE CLAY ARTS GUILD,NULL,PO BOX 241151,61.18495,-149.89178,7,NULL,99502,920156423,1
8400200132,ANCHORAGE GENEALOGICAL SOCIETY,NULL,PO BOX 242294,61.18495,-149.89178,4,NULL,99502,920143639,1
8400200121,ANCHORAGE HISTORIC PROPERTIES,9072743600,645 WEST 3RD AVENUE,61.21978,-149.89524,4,NULL,99502,920119470,1
8400200125,ANCHORAGE MUSEUM,9079299200,121 WEST SEVENTH AVENUE,61.21608,-149.8853,5,NULL,99502,920129376,1
8409502704,ARC GALLERY,9077861766,3211 PROVIDENCE DRIVE,64.81712,-147.87837,7,1,99502,926000147,2
8400200028,BARANOV MUSEUM,9074865920,101 MARINE WAY,57.7885,-152.39915,4,NULL,99615,926002560,3
8400200069,BRISTOL BAY HISTORICAL SOCIETY,NULL,PO BOX 276,58.85984,-156.71037,4,NULL,99633,510174974,4
8400200168,BUNNELL STREET GALLERY,9072352662,106 W BUNNELL AVE,59.64002,-151.54459,7,NULL,99603,943220880,4
