ID_Ville,Nom,RefEtat
1,ANCHORAGE,2
2,KENAI,2
3,DOUGLAS,2
4,FAIRBANKS,2
5,FORT RICHARDSON,2
6,JUNEAU,2
7,GIRDWOOD,2
8,SUTTON,2
9,KODIAK,2
10,NAKNEK,2
11,HOMER,2
12,SITKA,2
13,CORDOVA,2
14,HAINES,2
15,CHUGIAK,2
16,CENTRAL,2
17,PETERSBURG,2
18,COPPER CENTER,2
19,DENALI PARK,2
20,EAGLE CITY,2
21,EAGLE,2
22,EAGLE RIVER,2
23,GUSTAVUS,2
24,HOPE,2
25,SEWARD,2
26,BARROW,2
27,KAKE,2
28,KASILOF,2
29,WASILLA,2
30,VALDEZ,2
31,GLENNALLEN,2
32,UNALASKA,2
33,KETCHIKAN,2
34,PALMER,2
35,NOME,2
36,DILLINGHAM,2
37,ANAKTUVUK PASS,2
38,SOLDOTNA,2
39,TALKEETNA,2
40,TENAKEE SPRINGS,2
41,MCGRATH,2
42,DELTA JCT,2
43,WHITTIER,2
44,WRANGELL,2
45,EUTAW,1
46,MOBILE,1
47,HUNTSVILLE,1
48,MONTGOMERY,1
49,CHELSEA,1
50,GADSDEN,1
51,MOUNTAIN BROOK,1
52,BIRMINGHAM,1
53,MC CALLA,1
54,OPELIKA,1
55,DORA,1
56,TUSCALOOSA,1
57,WETUMPKA,1
58,LIVINGSTON,1
59,ATHENS,1
60,PELHAM,1
61,HOOVER,1
62,ALICEVILLE,1
63,SELMA,1
64,MOULTON,1
65,ARAB,1
66,MONTEVALLO,1
67,ASHVILLE,1
68,ATMORE,1
69,AUBURN,1
70,PRATTVILLE,1
71,BAY MINETTE,1
72,SUMMERDALE,1
73,ELBERTA,1
74,CLAYTON,1
75,THEODORE,1
76,ANNISTON,1
77,BESSEMER,1
78,MOUNTAIN BRK,1
79,FURMAN,1
80,BLOUNTSVILLE,1
81,DECATUR,1
82,BRIDGEPORT,1
83,GUNTERSVILLE,1
84,BRUNDIDGE,1
85,GREENVILLE,1
86,JACKSONVILLE,1
87,NAUVOO,1
88,JASPER,1
89,CENTER POINT,1
90,LAFAYETTE,1
91,CENTRE,1
92,CHICKASAW,1
93,FLORENCE,1
94,BUTLER,1
95,TOXEY,1
96,GROVE HILL,1
97,ASHLAND,1
98,MADISON,1
99,CLAY,1
100,NORTHPORT,1
101,LEIGHTON,1
102,YORK,1
103,COLLINSVILLE,1
104,COLUMBIA,1
105,ROCKFORD,1
106,COURTLAND,1
107,ANDALUSIA,1
108,MARBURY,1
109,CULLMAN,1
110,DAPHNE,1
111,GULF SHORES,1
112,FT PAYNE,1
113,FORT PAYNE,1
114,DOTHAN,1
115,MT MEIGS,1
116,FAIRHOPE,1
117,COLUMBIANA,1
118,TRUSSVILLE,1
119,EPES,1
120,BREWTON,1
121,EUFAULA,1
122,HANCEVILLE,1
123,FAYETTE,1
124,FLOMATON,1
125,GEORGIANA,1
126,FRISCO CITY,1
127,ODENVILLE,1
128,GARDENDALE,1
129,GENEVA,1
130,GURLEY,1
131,TROY,1
132,TUSKEGEE,1
133,HARTSELLE,1
134,CALERA,1
135,TUSCUMBIA,1
136,HEADLAND,1
137,SHORTERVILLE,1
138,GREENSBORO,1
139,SHELBY,1
140,HOLLY POND,1
141,HOUSTON,1
142,TALLADEGA,1
143,IRONDALE,1
144,SYLACAUGA,1
145,THOMASVILLE,1
146,KILLEN,1
147,VERNON,1
148,LANETT,1
149,LEEDS,1
150,LOACHAPOKA,1
151,LINDEN,1
152,GORDO,1
153,DEMOPOLIS,1
154,MARION,1
155,HAMILTON,1
156,BOAZ,1
157,MENTONE,1
158,WILMER,1
159,MONROEVILLE,1
160,MONTROSE,1
161,MOUNDVILLE,1
162,DANVILLE,1
163,ONEONTA,1
164,HELENA,1
165,ENTERPRISE,1
166,PETERMAN,1
167,PHENIX CITY,1
168,CARROLLTON,1
169,HOPE HULL,1
170,OZARK,1
171,CRAGFORD,1
172,RED BAY,1
173,SCOTTSBORO,1
174,SEMMES,1
175,FOLEY,1
176,SPRUCE PINE,1
177,NORMAL,1
178,DADEVILLE,1
179,TONEY,1
180,FORT RUCKER,1
181,SEALE,1
182,VESTAVIA HILLS,1
183,VINCENT,1
184,VREDENBURGH,1
185,CHATOM,1
186,CAMDEN,1
187,CHEROKEE VILLAGE,5
188,FAYETTEVILLE,5
189,ALTUS,5
190,HELENA,5
191,LITTLE ROCK,5
192,MAYFLOWER,5
193,LINCOLN,5
194,MONTICELLO,5
195,PARIS,5
196,N LITTLE ROCK,5
197,NORTH LITTLE ROCK,5
198,SMACKOVER,5
199,ROGERS,5
200,GILLETT,5
201,JONESBORO,5
202,RUSSELLVILLE,5
203,STUTTGART,5
204,SILOAM SPRINGS,5
205,MAGNOLIA,5
206,PINE BLUFF,5
207,SPRINGDALE,5
208,HAMBURG,5
209,EUREKA SPGS,5
210,HOT SPRINGS,5
211,FORT SMITH,5
212,WALDRON,5
213,CONWAY,5
214,BAUXITE,5
215,MOUNTAIN HOME,5
216,BELLA VISTA,5
217,BENTON,5
218,BENTONVILLE,5
219,HARRISON,5
220,BOONEVILLE,5
221,STATE UNIVERSITY,5
222,WARREN,5
223,MONETTE,5
224,BULL SHOAL,5
225,CALICO ROCK,5
226,CANEHILL,5
227,BERRYVILLE,5
228,SHERIDAN,5
229,BRINKLEY,5
230,CHIDESTER,5
231,HEBER SPRINGS,5
232,RISON,5
233,BLACK ROCK,5
234,MORRILTON,5
235,BEEBE,5
236,ALMA,5
237,VAN BUREN,5
238,WYNNE,5
239,CROSSETT,5
240,FORDYCE,5
241,BLYTHEVILLE,5
242,DERMOTT,5
243,MCGEHEE,5
244,DUMAS,5
245,POCAHONTAS,5
246,MAGAZINE,5
247,FAIRFIELD BAY,5
248,HARVEY,5
249,EUREKA SPRING,5
250,MAMMOTH SPRING,5
251,GARFIELD,5
252,EUREKA SPRINGS,5
253,PARAGOULD,5
254,GURDON,5
255,ARKADELPHIA,5
256,PIGGOTT,5
257,HOPE,5
258,MOUNT IDA,5
259,MALVERN,5
260,NASHVILLE,5
261,MELBOURNE,5
262,NEWPORT,5
263,JACKSONVILLE,5
264,CLARKSVILLE,5
265,BATESVILLE,5
266,ASHDOWN,5
267,LONOKE,5
268,WALNUT RIDGE,5
269,HUNTSVILLE,5
270,BARLING,5
271,MARIANNA,5
272,YELLVILLE,5
273,MENA,5
274,FOUKE,5
275,OSCEOLA,5
276,JASPER,5
277,LEPANTO,5
278,LAKE VILLAGE,5
279,VILONIA,5
280,PRESCOTT,5
281,FOREMAN,5
282,NORMAN,5
283,OZARK,5
284,EL PASO,5
285,LESLIE,5
286,PEA RIDGE,5
287,PERRYVILLE,5
288,WASHINGTON,5
289,POTTSVILLE,5
290,PRAIRIE GROVE,5
291,HOT SPRINGS NATIONAL PARK,5
292,MARSHALL,5
293,DE QUEEN,5
294,SILOAM SPGS,5
295,EL DORADO,5
296,DELIGHT,5
297,GREENWOOD,5
298,SEARCY,5
299,MOUNTAIN VIEW,5
300,TEXARKANA,5
301,GENTRY,5
302,LOWELL,5
303,TUCKERMAN,5
304,CLINTON,5
305,HOT SPRINGS VILLAGE,5
306,WINSLOW,5
307,DARDANELLE,5
308,SCOTTSDALE,4
309,TUCSON,4
310,AJO,4
311,PHOENIX,4
312,MESA,4
313,MOHAVE VALLEY,4
314,TEMPE,4
315,GLENDALE,4
316,DRAGOON,4
317,ORO VALLEY,4
318,TUBAC,4
319,ST JOHNS,4
320,CHANDLER,4
321,PINE,4
322,HEREFORD,4
323,FLAGSTAFF,4
324,YUMA,4
325,BULLHEAD CITY,4
326,MARICOPA,4
327,PRESCOTT,4
328,WILLIAMS,4
329,DOUGLAS,4
330,BISBEE,4
331,BLACK CANYON CITY,4
332,BOUSE,4
333,SUPERIOR,4
334,BUCKEYE,4
335,MIAMI,4
336,CAMP VERDE,4
337,SUN CITY,4
338,MARANA,4
339,CASA GRANDE,4
340,SPRINGERVILLE,4
341,CAVE CREEK,4
342,PEORIA,4
343,CHINO VALLEY,4
344,PORTAL,4
345,CLARKDALE,4
346,VAIL,4
347,COOLIDGE,4
348,CORNVILLE,4
349,CROWN KING,4
350,WICKENBURG,4
351,PIMA,4
352,FORT HUACHUCA,4
353,GOODYEAR,4
354,AMADO,4
355,TEMP,4
356,GLOBE,4
357,GILBERT,4
358,THATCHER,4
359,GRAND CANYON,4
360,GREEN VALLEY,4
361,CLIFTON,4
362,MAYER,4
363,KINGMAN,4
364,SIERRA VISTA,4
365,COTTONWOOD,4
366,JEROME,4
367,PAGE,4
368,LK HAVASU CTY,4
369,LAKE HAVASU CITY,4
370,LITCHFIELD PARK,4
371,MAMMOTH,4
372,WINDOW ROCK,4
373,WINSLOW,4
374,HOLBROOK,4
375,TSAILE,4
376,PAYSON,4
377,OATMAN,4
378,PEARCE,4
379,ORACLE,4
380,PARKER,4
381,PATAGONIA,4
382,YARNELL,4
383,PETRIFIED FOREST,4
384,NOGALES,4
385,FLORENCE,4
386,LAKESIDE,4
387,TOMBSTONE,4
388,AVONDALE,4
389,YOUNG,4
390,PRESCOTT VALLEY,4
391,DUNCAN,4
392,QUARTZSITE,4
393,FREDONIA,4
394,WILLCOX,4
395,FOUNTAIN HILLS,4
396,CORTARO,4
397,SAN MANUEL,4
398,BENSON,4
399,QUEEN CREEK,4
400,ARIZONA CITY,4
401,SEDONA,4
402,SELIGMAN,4
403,SHOW LOW,4
404,SKULL VALLEY,4
405,FOUNTAIN HILL,4
406,APACHE JCT,4
407,SURPRISE,4
408,PARADISE VLY,4
409,CAREFREE,4
410,PRESCOTT VALL,4
411,CHICO,6
412,SANTA MONICA,6
413,PALM SPRINGS,6
414,FREMONT,6
415,SANTA ANA,6
416,CALABASAS,6
417,SAN FRANCISCO,6
418,LOS ANGELES,6
419,PASADENA,6
420,MALIBU,6
421,MISSION VIEJO,6
422,MCCLELLAN,6
423,OAKLAND,6
424,FRESNO,6
425,SAN DIEGO,6
426,LONG BEACH,6
427,WATSONVILLE,6
428,MERCED,6
429,HAYWARD,6
430,VAN NUYS,6
431,SHAFTER,6
432,ALAMEDA,6
433,ALBANY,6
434,ALHAMBRA,6
435,MARKLEEVILLE,6
436,ALPINE,6
437,DINUBA,6
438,ALTADENA,6
439,JACKSON,6
440,PLEASANTON,6
441,PLYMOUTH,6
442,VENTURA,6
443,HUNTINGTN BCH,6
444,SACRAMENTO,6
445,POMONA,6
446,TIBURON,6
447,BISHOP,6
448,STOCKTON,6
449,SANTA ROSA,6
450,EL MONTE,6
451,OXNARD,6
452,ANAHEIM,6
453,ANDERSON,6
454,BOONVILLE,6
455,ANGELS CAMP,6
456,ANNAPOLIS,6
457,RANCHO MIRAGE,6
458,IRVINE,6
459,LANCASTER,6
460,ANTIOCH,6
461,SANTEE,6
462,VISTA,6
463,NEEDLES,6
464,BORREGO SPRIN,6
465,APTOS,6
466,ARCADIA,6
467,ARCATA,6
468,CAMARILLO,6
469,GLENDALE,6
470,COSTA MESA,6
471,SAN LUIS OBISPO,6
472,SANTA BARBARA,6
473,NORTHRIDGE,6
474,RIVERSIDE,6
475,LA MIRADA,6
476,PORTERVILLE,6
477,VALENCIA,6
478,SAN RAFAEL,6
479,ARTESIA,6
480,LOMPOC,6
481,SANTA YNEZ,6
482,BERKELEY,6
483,BENICIA,6
484,CARMEL,6
485,ARVIN,6
486,PLEASANT HILL,6
487,ATASCADERO,6
488,LA JOLLA,6
489,ATHERTON,6
490,WALNUT CREEK,6
491,ATWATER,6
492,EL SEGUNDO,6
493,AVENAL,6
494,SANTA PAULA,6
495,STANFORD,6
496,BAKERSFIELD,6
497,POINT ARENA,6
498,NEWPORT BEACH,6
499,LOS ALAMITOS,6
500,WILMINGTON,6
501,PORT HUENEME,6
502,MONROVIA,6
503,SAUSALITO,6
504,SUISUN CITY,6
505,MOUNTAIN VIEW,6
506,BAY POINT,6
507,FULLERTON,6
508,DANVILLE,6
509,BELMONT,6
510,CULVER CITY,6
511,SAN FRANCSICO,6
512,BEVERLY HILL,6
513,BEVERLY HILLS,6
514,CARLSBAD,6
515,BIG BEAR CITY,6
516,WRIGHTWOOD,6
517,BIG SUR,6
518,WALNUT,6
519,WEED,6
520,BLUE LAKE,6
521,SONOMA,6
522,BOLINAS,6
523,SAN MARCOS,6
524,DAVIS,6
525,TUJUNGA,6
526,BONITA,6
527,BORON,6
528,PLACENTIA,6
529,SAN JOSE,6
530,BREA,6
531,ARROYO GRANDE,6
532,BUELLTON,6
533,BUENA PARK,6
534,BURBANK,6
535,BURLINGAME,6
536,HANFORD,6
537,OROVILLE,6
538,DORRIS,6
539,TRUCKEE,6
540,INDIO,6
541,DESERT HOT SP,6
542,SAN PEDRO,6
543,SAN ANDREAS,6
544,WEST POINT,6
545,REDLANDS,6
546,CALEXICO,6
547,SAN MARTIN,6
548,ESCONDIDO,6
549,MARYSVILLE,6
550,CAPO BEACH,6
551,EL DORADO HLS,6
552,TORRANCE,6
553,RANCHO CUCAMONGA,6
554,SALINAS,6
555,CUPERTINO,6
556,FONTANA,6
557,CARMICHAEL,6
558,CLOVIS,6
559,CALIFORNIA CI,6
560,VICTORVILLE,6
561,ALTA LOMA,6
562,MARIPOSA,6
563,OCEANSIDE,6
564,ELK GROVE,6
565,HOLLISTER,6
566,CASTRO VALLEY,6
567,CAMBRIA,6
568,CAMP ROBERTS,6
569,CAMPBELL,6
570,NORTH HOLLYWOOD,6
571,CAMPTONVILLE,6
572,CANOGA PARK,6
573,WHITETHORN,6
574,DUARTE,6
575,MONTEREY,6
576,CARMEL VALLEY,6
577,CARPINTERIA,6
578,ALAMO,6
579,INDEPENDENCE,6
580,MONTECITO,6
581,SAN CLEMENTE,6
582,CASSEL,6
583,SAN MATEO,6
584,SIMI VALLEY,6
585,CASTROVILLE,6
586,AVALON,6
587,CATHEDRAL CITY,6
588,CAYUCOS,6
589,REDWOOD CITY,6
590,IONE,6
591,SANTA CRUZ,6
592,DOS PALOS,6
593,SHELL BEACH,6
594,SANTA CLARA,6
595,GOLETA,6
596,SHAVER LAKE,6
597,NORWALK,6
598,INGLEWOOD,6
599,UPLAND,6
600,YUCAIPA,6
601,CHESTER,6
602,ENCINITAS,6
603,FOUNTAIN VALLEY,6
604,LA HABRA,6
605,PETALUMA,6
606,OAKHURST,6
607,VISALIA,6
608,LA CRESCENTA,6
609,LOS ALTOS,6
610,RIDGECREST,6
611,PIEDMONT,6
612,CHINO HILLS,6
613,CHINO,6
614,SOUTH PASADEN,6
615,CHOWCHILLA,6
616,REDONDO BEACH,6
617,TUSTIN,6
618,CHULA VISTA,6
619,CITRUS HEIGHTS,6
620,MANTECA,6
621,MEADOW VISTA,6
622,CLAREMONT,6
623,EUREKA,6
624,EL DORADO HILLS,6
625,RAMONA,6
626,CLAYTON,6
627,CLOVERDALE,6
628,COARSEGOLD,6
629,COLFAX,6
630,KENTFIELD,6
631,SANTA CLARITA,6
632,COLMA,6
633,COLTON,6
634,DOWNEY,6
635,COLUMBIA,6
636,WILLOWS,6
637,YUBA CITY,6
638,CONCORD,6
639,THOUSAND OAKS,6
640,WESTLAKE VLG,6
641,NEWBURY PARK,6
642,SAN LUIS OBIS,6
643,REDDING,6
644,MARTINEZ,6
645,CORONA,6
646,CORONADO,6
647,COTATI,6
648,MILL VALLEY,6
649,COVINA,6
650,EL CAJON,6
651,SANTA MARIA,6
652,CROCKETT,6
653,MENDOCINO,6
654,GARDEN GROVE,6
655,BELL,6
656,CYPRESS,6
657,DAGGETT,6
658,NIPOMO,6
659,DANA POINT,6
660,SELMA,6
661,AZUSA,6
662,MURRIETA,6
663,DEATH VALLEY,6
664,DEL MAR,6
665,CRESCENT CITY,6
666,DELANO,6
667,RIO VISTA,6
668,OAKLEY,6
669,BARSTOW,6
670,DESERT HOT SPRINGS,6
671,NAPA,6
672,CRESTLINE,6
673,DIXON,6
674,SHERMAN OAKS,6
675,RANCHO PALOS,6
676,NORDEN,6
677,PERRIS,6
678,FAIRFIELD,6
679,DOWNIEVILLE,6
680,MONTEREY PARK,6
681,DUBLIN,6
682,GUADALUPE,6
683,DUNLAP,6
684,DUTCH FLAT,6
685,CITY INDUSTR,6
686,SUNOL,6
687,PT RICHMOND,6
688,BRENTWOOD,6
689,HIGHLAND,6
690,PRATHER,6
691,BEAR VALLEY,6
692,SAN PABLO,6
693,CHERRY VALLEY,6
694,EL CERRITO,6
695,PLACERVILLE,6
696,PASO ROBLES,6
697,BELL GARDENS,6
698,ROSEVILLE,6
699,EMERYVILLE,6
700,ESCALON,6
701,ETIWANDA,6
702,LAGUNA BEACH,6
703,FALLBROOK,6
704,FIDDLETOWN,6
705,FILLMORE,6
706,ENCINO,6
707,KENSINGTON,6
708,WOODSIDE,6
709,SAN FRANCISC,6
710,BEAUMONT,6
711,GREENBRAE,6
712,LA QUINTA,6
713,EDWARDS AFB,6
714,FLORIN,6
715,FOLSOM,6
716,FOREST CITY,6
717,SAN RAMON,6
718,FORESTVILLE,6
719,FORT BRAGG,6
720,FALL RIVER MILLS,6
721,PALO VERDE,6
722,LAKE FOREST,6
723,MARINA,6
724,TAFT,6
725,JENNER,6
726,FOSTER CITY,6
727,ALISO VIEJO,6
728,YREKA,6
729,WOODLAND,6
730,LOS ANGELES,51
731,MORAGA,6
732,POINT REYES S,6
733,GALT,6
734,PALO ALTO,6
735,TAHOE CITY,6
736,SANTA FE SPRINGS,6
737,CHIRIACO SUMM,6
738,MONTCLAIR,6
739,GILROY,6
740,GLEN ELLEN,6
741,GLENDORA,6
742,PARADISE,6
743,SUNNYVALE,6
744,SAN FRANCISCO CA 94123,6
745,RICHMOND,6
746,SOLVANG,6
747,GONZALES,6
748,UKIAH,6
749,LAKESIDE,6
750,NEVADA CITY,6
751,MODESTO,6
752,WHITTIER,6
753,CORTE MADERA,6
754,GREENVILLE,6
755,GRIDLEY,6
756,ORANGE,6
757,GUSTINE,6
758,HUNTINGTON BEACH,6
759,SOUTH LAKE TAHOE,6
760,HALF MOON BAY,6
761,SEBASTOPOL,6
762,ANZA,6
763,HEALDSBURG,6
764,LA VERNE,6
765,HAWTHORNE,6
766,HEMET,6
767,SAN MARINO,6
768,HERCULES,6
769,MADERA,6
770,NEWHALL,6
771,PACIFIC GROVE,6
772,HERMOSA BEACH,6
773,S EL MONTE,6
774,YUCCA VALLEY,6
775,LODI,6
776,SAN CARLOS,6
777,GOLDEN GATE STATION,6
778,GRASS VALLEY,6
779,AUBURN,6
780,GREENFIELD,6
781,VALLEJO,6
782,SUSANVILLE,6
783,LOMA LINDA,6
784,SN BERNRDNO,6
785,LAGUNA HILLS,6
786,MORRO BAY,6
787,PALM DESERT,6
788,SSF,6
789,TEMPLE CITY,6
790,BALDWIN PARK,6
791,WEST COVINA,6
792,LATHROP,6
793,HOLLYWOOD,6
794,OLIVEHURST,6
795,LE GRAND,6
796,NORCO,6
797,LA MESA,6
798,HUGHSON,6
799,SAMOA,6
800,HUNTINGTON BE,6
801,IDYLLWILD,6
802,IMPERIAL,6
803,EL CENTRO,6
804,PACIFIC PLSDS,6
805,COTO DE CAZA,6
806,LAGUANA BEACH,6
807,CARSON,6
808,LONGBEACH,6
809,ISLETON,6
810,ORINDA,6
811,BLAIRSDEN,6
812,AMADOR CITY,6
813,ROSS,6
814,JOSHUA TREE,6
815,TWENTYNINE PALMS,6
816,JULIAN,6
817,RED BLUFF,6
818,ROSAMOND,6
819,KERNVILLE,6
820,KINGSBURG,6
821,SUTTER CREEK,6
822,KNIGHTS FERRY,6
823,PAUMA VALLEY,6
824,LA GRANGE,6
825,LA PUENTE,6
826,LAFAYETTE,6
827,LAGUNA NIGUEL,6
828,LAKE ARROWHEAD,6
829,LK ARROWHEAD,6
830,LAKEPORT,6
831,LAKE ELSINORE,6
832,S LAKE TAHOE,6
833,LA HONDA,6
834,LA CANADA,6
835,MINERAL,6
836,VALLEY GLEN,6
837,COTTONWOOD,6
838,LIVERMORE,6
